rank,table,n_rows,n_columns,prefix
1,app_dict_def,1513,8,app
2,wage_data,724,6,wage
3,wage_set_val,724,6,wage
4,addr_city,538,6,addr
5,mup_modu_obj,535,4,mup
6,mup_sys_func,509,9,mup
7,app_attr_def,448,9,app
8,app_dict,371,6,app
9,evm_account_f,370,11,evm
10,evm_io_f,339,24,evm
11,evm_v_item,339,17,evm
12,app_voucher_evm_para,244,7,app
13,rep_unit,224,21,rep
14,evm_subject,185,19,evm
15,emp,169,75,(no-prefix)
16,wage_set_emp,169,7,wage
17,evm_init,164,22,evm
18,app_voucher_type,162,17,app
19,rep_analysis_source_item,161,6,rep
20,rep_attr,147,8,rep
21,ebs_vr_ctl,117,121,ebs
22,ebs_v,94,23,ebs
23,evm_v,93,5,evm
24,mup_frame_menu,69,3,mup
25,mup_frame_nag,69,3,mup
26,bbs_subject_stat,63,3,bbs
27,ebs_vr_ref_set,54,22,ebs
28,tbx_tool_def,48,4,tbx
29,tbx_user_tool,48,3,tbx
30,wage_tax,44,6,wage
31,emp_dept_post,38,3,emp
32,emp_post,38,8,emp
33,edt_res_init,37,15,edt
34,timer_stat_item_def,36,8,timer
35,mup_modu,35,4,mup
36,addr_province,32,5,addr
37,res,32,55,(no-prefix)
38,res_composing,32,16,res
39,evm_cash_subject,31,5,evm
40,app_emp,30,13,app
41,mup_sys,27,4,mup
42,evm_def_trans_item,22,5,evm
43,edt_vir,18,5,edt
44,emp_dept,16,10,emp
45,mup_dll,14,5,mup
46,timer_original_rec,13,9,timer
47,app_remind_def,10,6,app
48,rep_analysis_source,10,5,rep
49,mup_frame,9,6,mup
50,wage_set_subject,9,2,wage
51,wage_subject,9,11,wage
52,evm_def_trans,8,8,evm
53,bbs_group_subject,7,3,bbs
54,bbs_subject,7,5,bbs
55,emf_res_io_type,7,7,emf
56,emp_res_io_type,7,7,emp
57,timer_result_def,7,5,timer
58,app_sequence,5,2,app
59,asset_type,5,6,asset
60,eas_def_item,5,18,eas
61,eas_set_item,5,6,eas
62,emf_cost_def,5,6,emf
63,mio_budget_type,5,4,mio
64,app_obj_source_type,4,4,app
65,eas_assess_grade,4,4,eas
66,eas_item_grade,4,3,eas
67,eba,4,81,(no-prefix)
68,eba_service,4,9,eba
69,emf_process,4,13,emf
70,rep,4,27,(no-prefix)
71,res_catalog,4,26,res
72,tbx_card_group,4,7,tbx
73,timer_list,4,41,timer
74,app_dept,3,7,app
75,eba_price_group,3,8,eba
76,edt,3,8,(no-prefix)
77,emp_card_type,3,9,emp
78,emp_welfare_type,3,5,emp
79,evm_money_type,3,3,evm
80,sup,3,60,(no-prefix)
81,sup_service,3,5,sup
82,tbx_web_site_type,3,6,tbx
83,timer_class_def,3,81,timer
84,wage_group_cal,3,3,wage
85,wage_set_cal,3,3,wage
86,bbs_group,2,4,bbs
87,emp_dorm,2,16,emp
88,emp_insurance_type,2,14,emp
89,mio_account,2,15,mio
90,mup_sys_func_activate,2,6,mup
91,pm_project,2,23,pm
92,res_bom_type,2,4,res
93,addr_country,1,5,addr
94,app_company,1,5,app
95,bbs_page,1,4,bbs
96,eas_assess_group,1,6,eas
97,eas_def_class,1,5,eas
98,eas_set,1,8,eas
99,eas_set_class,1,3,eas
100,ebm_brand,1,4,ebm
101,emf_process_dir,1,4,emf
102,emf_res_catalog,1,4,emf
103,emf_route_dir,1,4,emf
104,emp_company,1,8,emp
105,emp_res_catalog,1,4,emp
106,pm_project_type,1,5,pm
107,tbx_favorite_sentence,1,5,tbx
108,timer_class_rule,1,70,timer
109,timer_emp_group,1,7,timer
110,timer_overtime_type,1,3,timer
111,timer_para,1,14,timer
112,wage_set,1,5,wage
113,app_card_fmt,0,11,app
114,app_card_fmt_def,0,8,app
115,app_clear_log_para,0,2,app
116,app_fee,0,9,app
117,app_fs_file,0,12,app
118,app_gen_batch_no_ext,0,3,app
119,app_gen_batch_no_rule,0,10,app
120,app_gen_id_ext,0,3,app
121,app_gen_id_rule,0,5,app
122,app_grid_fmt,0,12,app
123,app_grid_fmt_def,0,9,app
124,app_group,0,7,app
125,app_group_item,0,3,app
126,app_instruct,0,4,app
127,app_lmt_def_item,0,4,app
128,app_loadfmt_profile,0,4,app
129,app_my_remind,0,7,app
130,app_my_voucher,0,3,app
131,app_note,0,5,app
132,app_obj_source,0,3,app
133,app_server_task,0,17,app
134,app_sql_cond,0,5,app
135,app_sql_cond_item,0,11,app
136,app_tmp_key_set,0,2,app
137,app_user_tab_col,0,11,app
138,app_voucher_source,0,3,app
139,app_win_source,0,5,app
140,asset,0,59,(no-prefix)
141,asset_acc,0,23,asset
142,asset_acc_depre,0,3,asset
143,asset_acc_init,0,12,asset
144,asset_acc_io,0,5,asset
145,asset_assist,0,10,asset
146,asset_chg,0,11,asset
147,asset_count_no,0,2,asset
148,asset_count_no_num,0,3,asset
149,asset_depre,0,9,asset
150,asset_dept_apart,0,5,asset
151,asset_desc,0,4,asset
152,asset_draw,0,14,asset
153,asset_examine,0,25,asset
154,asset_file,0,5,asset
155,asset_file_data,0,3,asset
156,asset_group,0,6,asset
157,asset_group_item,0,3,asset
158,asset_hire,0,25,asset
159,asset_load,0,4,asset
160,asset_move,0,15,asset
161,asset_stat,0,14,asset
162,bbs_board,0,3,bbs
163,bbs_detail,0,10,bbs
164,bbs_detail_ext,0,4,bbs
165,bbs_detail_file,0,6,bbs
166,bbs_login_log,0,4,bbs
167,bbs_manager,0,2,bbs
168,bbs_page_link,0,7,bbs
169,bbs_search,0,4,bbs
170,bbs_search_topic,0,3,bbs
171,bbs_top_topic,0,5,bbs
172,bbs_topic,0,17,bbs
173,bbs_topic_key_word,0,3,bbs
174,bbs_user,0,23,bbs
175,bbs_user_favorite,0,5,bbs
176,bbs_user_photo,0,7,bbs
177,bbs_user_photo_catalog,0,4,bbs
178,bbs_user_subject,0,5,bbs
179,bbs_user_topic,0,3,bbs
180,car_card,0,40,car
181,car_crime,0,16,car
182,car_fee,0,24,car
183,car_repair,0,13,car
184,car_use,0,26,car
185,crm_card,0,28,crm
186,crm_card_group_member,0,2,crm
187,crm_card_note,0,5,crm
188,crm_chance,0,29,crm
189,crm_chance_item,0,8,crm
190,crm_chance_note,0,5,crm
191,crm_chance_touch,0,13,crm
192,crm_clew,0,30,crm
193,crm_clew_group,0,5,crm
194,crm_clew_note,0,5,crm
195,crm_clew_touch,0,16,crm
196,crm_cost,0,12,crm
197,crm_cost_def,0,3,crm
198,crm_cost_item,0,4,crm
199,crm_event,0,43,crm
200,crm_event_deal,0,9,crm
201,crm_event_note,0,5,crm
202,crm_fee,0,24,crm
203,crm_qq_group,0,9,crm
204,crm_repair,0,33,crm
205,crm_repair_item,0,14,crm
206,crm_taste,0,21,crm
207,crm_taste_note,0,5,crm
208,crm_taste_plan,0,12,crm
209,crm_touch,0,18,crm
210,crm_web_site,0,10,crm
211,eas_add_up,0,11,eas
212,eas_assess_group_line,0,3,eas
213,eas_cal_set_line,0,3,eas
214,eas_def_item_cause,0,4,eas
215,eas_g_detail,0,7,eas
216,eas_g_item,0,17,eas
217,eas_set_cal,0,3,eas
218,eba_bill_init,0,7,eba
219,eba_card,0,38,eba
220,eba_card_note,0,5,eba
221,eba_contract,0,23,eba
222,eba_contract_desc,0,4,eba
223,eba_expire,0,16,eba
224,eba_expire_remind,0,8,eba
225,eba_expire_v,0,10,eba
226,eba_group,0,5,eba
227,eba_group_member,0,2,eba
228,eba_group_share,0,2,eba
229,eba_io,0,50,eba
230,eba_io_init,0,14,eba
231,eba_io_t,0,50,eba
232,eba_mem_card,0,25,eba
233,eba_mem_card_acc,0,6,eba
234,eba_mem_card_ex_rule,0,11,eba
235,eba_mem_card_para,0,4,eba
236,eba_mem_card_usage,0,17,eba
237,eba_note,0,5,eba
238,eba_pos,0,21,eba
239,eba_pos_login_log,0,15,eba
240,eba_pre_init,0,7,eba
241,eba_price,0,10,eba
242,eba_price_sub_group,0,3,eba
243,eba_request,0,25,eba
244,eba_vr,0,22,eba
245,ebm_bill,0,16,ebm
246,ebm_bill_t,0,16,ebm
247,ebm_eba,0,20,ebm
248,ebm_io,0,20,ebm
