Name,Rows,Cols
???s,98939,40
???s,10000,36
WXAP_JL,228,19
???bak,153,22
???s,121,8
???,28,15
???,13,17
???,4,38
???,4,66
???,3,16
???,1,87
wx_ssj,1,19
???????,0,12
????s,0,10
???,0,23
???????,0,12
???,0,18
???s,0,13
?????s,0,15
?????,0,25
WXAP_JHJL,0,18
WXAP_QTX,0,17
???,0,52
WXAP_TXL,0,9
???????,0,12
WXAP_TXL_??,0,11
???????,0,12
WXAP_SKJL,0,18
???,0,27
???,0,22
?????s,0,8
???,0,15
???s??,0,10
?????,0,15
?????s,0,8
?????,0,17
???s,0,51
???,0,10
?????,0,21
???????,0,64
???,0,17
???s,0,28
???,0,18
???s,0,47
JUT776,0,14
????,0,35
???s,0,53
???,0,16
???,0,6
?????s,0,10
?????,0,17
WXAP_JHRW,0,14
???s,0,45
???,0,36
???s,0,10
WXAP_DY,0,14
QQAP_JHCX,0,36
QQAP_JHRW,0,14
?????,0,19
???s2,0,42
?????,0,24
QQAP_DJQQYDMX,0,7
?????,0,8
QQAP_DJQQYD,0,18
?????,0,8
QQAP_JHCX_MX,0,12
?????s,0,9
?????,0,19
?????s,0,11
?????s,0,6
?????,0,16
?????,0,31
????s,0,11
????,0,16
????,0,6
???,0,26
QQAP_DY,0,15
BOM?,0,17
QQAP_JHJL,0,18
????,0,24
?????s,0,7
????s,0,19
???????,0,12
?????,0,6
QQAP,0,21
?????,0,12
QQAP_JL,0,18
???????,0,12
QQAP_FJ,0,17
?????s,0,6
?????,0,12
???,0,16
QQAP_TP,0,19
?????s,0,9
?????,0,12
?????,0,24
QQAP_???,0,24
?????,0,31
QQAP_QTX,0,15
?????,0,16
?????,0,21
????????,0,12
???s,0,42
